pdbid,pK_predicted,t_prep_s,t_inf_s,t_tot_s,Model,pK_true
1a30,6.12001,0.012105,0.25614,0.26824499999999996,AEScore,4.3
1bcu,4.85358,0.012105,0.25614,0.26824499999999996,AEScore,3.28
1bzc,6.86321,0.012105,0.25614,0.26824499999999996,AEScore,4.92
1c5z,4.31442,0.012105,0.25614,0.26824499999999996,AEScore,4.01
1e66,9.30873,0.012105,0.25614,0.26824499999999996,AEScore,9.89
1eby,10.64148,0.012105,0.25614,0.26824499999999996,AEScore,9.7
1g2k,9.64743,0.012105,0.25614,0.26824499999999996,AEScore,7.96
1gpk,8.37563,0.012105,0.25614,0.26824499999999996,AEScore,5.37
1gpn,7.68687,0.012105,0.25614,0.26824499999999996,AEScore,6.48
1h22,10.94035,0.012105,0.25614,0.26824499999999996,AEScore,9.1
1h23,10.51907,0.012105,0.25614,0.26824499999999996,AEScore,8.35
1k1i,5.66536,0.012105,0.25614,0.26824499999999996,AEScore,6.58
1lpg,8.24263,0.012105,0.25614,0.26824499999999996,AEScore,7.09
1mq6,9.12845,0.012105,0.25614,0.26824499999999996,AEScore,11.15
1nc1,7.53441,0.012105,0.25614,0.26824499999999996,AEScore,6.12
1nc3,7.19099,0.012105,0.25614,0.26824499999999996,AEScore,5.0
1nvq,8.26342,0.012105,0.25614,0.26824499999999996,AEScore,8.25
1o0h,6.57623,0.012105,0.25614,0.26824499999999996,AEScore,5.92
1o3f,5.06626,0.012105,0.25614,0.26824499999999996,AEScore,7.96
1o5b,5.38956,0.012105,0.25614,0.26824499999999996,AEScore,5.77
1owh,6.65659,0.012105,0.25614,0.26824499999999996,AEScore,7.4
1oyt,8.35979,0.012105,0.25614,0.26824499999999996,AEScore,7.24
1p1n,6.99712,0.012105,0.25614,0.26824499999999996,AEScore,6.8
1p1q,8.9977,0.012105,0.25614,0.26824499999999996,AEScore,4.89
1ps3,7.21098,0.012105,0.25614,0.26824499999999996,AEScore,2.28
1pxn,7.06449,0.012105,0.25614,0.26824499999999996,AEScore,7.15
1q8t,6.00307,0.012105,0.25614,0.26824499999999996,AEScore,4.76
1q8u,6.03345,0.012105,0.25614,0.26824499999999996,AEScore,5.96
1qf1,7.67988,0.012105,0.25614,0.26824499999999996,AEScore,7.32
1qkt,7.4174,0.012105,0.25614,0.26824499999999996,AEScore,9.04
1r5y,7.60031,0.012105,0.25614,0.26824499999999996,AEScore,6.46
1s38,6.89658,0.012105,0.25614,0.26824499999999996,AEScore,5.15
1sqa,8.58668,0.012105,0.25614,0.26824499999999996,AEScore,9.21
1syi,8.75979,0.012105,0.25614,0.26824499999999996,AEScore,5.44
1u1b,8.07423,0.012105,0.25614,0.26824499999999996,AEScore,7.8
1uto,3.12719,0.012105,0.25614,0.26824499999999996,AEScore,2.27
1vso,8.99453,0.012105,0.25614,0.26824499999999996,AEScore,4.72
1w4o,6.14408,0.012105,0.25614,0.26824499999999996,AEScore,5.22
1y6r,10.02944,0.012105,0.25614,0.26824499999999996,AEScore,10.11
1yc1,8.33956,0.012105,0.25614,0.26824499999999996,AEScore,6.17
1ydr,6.20259,0.012105,0.25614,0.26824499999999996,AEScore,5.52
1ydt,6.59686,0.012105,0.25614,0.26824499999999996,AEScore,7.32
1z6e,9.27553,0.012105,0.25614,0.26824499999999996,AEScore,9.72
1z95,9.42787,0.012105,0.25614,0.26824499999999996,AEScore,7.12
1z9g,6.15935,0.012105,0.25614,0.26824499999999996,AEScore,5.64
2al5,7.46893,0.012105,0.25614,0.26824499999999996,AEScore,8.4
2br1,6.04427,0.012105,0.25614,0.26824499999999996,AEScore,5.14
2brb,6.01716,0.012105,0.25614,0.26824499999999996,AEScore,4.86
2c3i,8.30949,0.012105,0.25614,0.26824499999999996,AEScore,7.6
2cbv,7.87699,0.012105,0.25614,0.26824499999999996,AEScore,5.48
2cet,9.66936,0.012105,0.25614,0.26824499999999996,AEScore,8.02
2fvd,7.97576,0.012105,0.25614,0.26824499999999996,AEScore,8.52
2fxs,7.76064,0.012105,0.25614,0.26824499999999996,AEScore,6.06
2hb1,5.5397,0.012105,0.25614,0.26824499999999996,AEScore,3.8
2iwx,7.05068,0.012105,0.25614,0.26824499999999996,AEScore,6.68
2j78,8.32477,0.012105,0.25614,0.26824499999999996,AEScore,6.42
2j7h,8.31176,0.012105,0.25614,0.26824499999999996,AEScore,7.19
2p15,8.86925,0.012105,0.25614,0.26824499999999996,AEScore,10.3
2p4y,9.43946,0.012105,0.25614,0.26824499999999996,AEScore,9.0
2pog,8.0998,0.012105,0.25614,0.26824499999999996,AEScore,9.54
2qbp,8.34798,0.012105,0.25614,0.26824499999999996,AEScore,8.4
2qbq,8.34921,0.012105,0.25614,0.26824499999999996,AEScore,7.44
2qbr,7.76284,0.012105,0.25614,0.26824499999999996,AEScore,6.33
2qe4,8.37635,0.012105,0.25614,0.26824499999999996,AEScore,7.96
2qnq,6.16649,0.012105,0.25614,0.26824499999999996,AEScore,6.11
2r9w,6.01746,0.012105,0.25614,0.26824499999999996,AEScore,5.1
2v00,7.1736,0.012105,0.25614,0.26824499999999996,AEScore,3.66
2v7a,8.80852,0.012105,0.25614,0.26824499999999996,AEScore,8.3
2vkm,9.61455,0.012105,0.25614,0.26824499999999996,AEScore,8.74
2vvn,6.62931,0.012105,0.25614,0.26824499999999996,AEScore,7.3
2vw5,7.70221,0.012105,0.25614,0.26824499999999996,AEScore,8.52
2w4x,7.92832,0.012105,0.25614,0.26824499999999996,AEScore,4.85
2w66,7.09156,0.012105,0.25614,0.26824499999999996,AEScore,4.05
2wbg,8.32494,0.012105,0.25614,0.26824499999999996,AEScore,4.45
2wca,6.75641,0.012105,0.25614,0.26824499999999996,AEScore,5.6
2weg,6.17945,0.012105,0.25614,0.26824499999999996,AEScore,6.5
2wer,6.23011,0.012105,0.25614,0.26824499999999996,AEScore,7.05
2wn9,7.10345,0.012105,0.25614,0.26824499999999996,AEScore,8.52
2wnc,8.42554,0.012105,0.25614,0.26824499999999996,AEScore,6.32
2wtv,7.53395,0.012105,0.25614,0.26824499999999996,AEScore,8.74
2wvt,8.16162,0.012105,0.25614,0.26824499999999996,AEScore,6.12
2x00,9.1346,0.012105,0.25614,0.26824499999999996,AEScore,11.33
2xb8,6.53878,0.012105,0.25614,0.26824499999999996,AEScore,7.59
2xbv,9.37777,0.012105,0.25614,0.26824499999999996,AEScore,8.43
2xdl,7.54688,0.012105,0.25614,0.26824499999999996,AEScore,3.1
2xii,9.37025,0.012105,0.25614,0.26824499999999996,AEScore,7.2
2xj7,6.5241,0.012105,0.25614,0.26824499999999996,AEScore,6.66
2xnb,7.28093,0.012105,0.25614,0.26824499999999996,AEScore,6.83
2xys,8.7743,0.012105,0.25614,0.26824499999999996,AEScore,7.42
2y5h,7.58475,0.012105,0.25614,0.26824499999999996,AEScore,5.79
2yfe,8.50902,0.012105,0.25614,0.26824499999999996,AEScore,6.63
2yge,5.86258,0.012105,0.25614,0.26824499999999996,AEScore,5.06
2yki,11.19952,0.012105,0.25614,0.26824499999999996,AEScore,9.46
2ymd,6.70815,0.012105,0.25614,0.26824499999999996,AEScore,3.16
2zb1,7.48436,0.012105,0.25614,0.26824499999999996,AEScore,6.32
2zcq,9.43727,0.012105,0.25614,0.26824499999999996,AEScore,8.82
2zcr,10.71598,0.012105,0.25614,0.26824499999999996,AEScore,6.87
2zda,6.07009,0.012105,0.25614,0.26824499999999996,AEScore,8.4
2zy1,8.26326,0.012105,0.25614,0.26824499999999996,AEScore,7.4
3acw,7.14007,0.012105,0.25614,0.26824499999999996,AEScore,4.76
3ag9,10.3766,0.012105,0.25614,0.26824499999999996,AEScore,8.05
3ao4,6.34792,0.012105,0.25614,0.26824499999999996,AEScore,2.07
3arp,10.99092,0.012105,0.25614,0.26824499999999996,AEScore,7.15
3arq,8.72947,0.012105,0.25614,0.26824499999999996,AEScore,6.4
3aru,6.0402,0.012105,0.25614,0.26824499999999996,AEScore,3.22
3arv,7.72431,0.012105,0.25614,0.26824499999999996,AEScore,5.64
3ary,5.70088,0.012105,0.25614,0.26824499999999996,AEScore,6.0
3b1m,7.74556,0.012105,0.25614,0.26824499999999996,AEScore,8.48
3b27,8.98108,0.012105,0.25614,0.26824499999999996,AEScore,5.16
3b5r,10.67037,0.012105,0.25614,0.26824499999999996,AEScore,8.77
3b65,9.05848,0.012105,0.25614,0.26824499999999996,AEScore,9.27
3b68,9.37905,0.012105,0.25614,0.26824499999999996,AEScore,8.4
3bgz,8.07643,0.012105,0.25614,0.26824499999999996,AEScore,6.26
3bv9,6.29865,0.012105,0.25614,0.26824499999999996,AEScore,5.36
3cj4,6.25096,0.012105,0.25614,0.26824499999999996,AEScore,6.51
3coy,7.53971,0.012105,0.25614,0.26824499999999996,AEScore,6.02
3coz,7.71106,0.012105,0.25614,0.26824499999999996,AEScore,5.57
3d4z,6.58221,0.012105,0.25614,0.26824499999999996,AEScore,4.89
3d6q,5.38984,0.012105,0.25614,0.26824499999999996,AEScore,3.76
3dd0,8.77119,0.012105,0.25614,0.26824499999999996,AEScore,9.0
3dx1,6.0488,0.012105,0.25614,0.26824499999999996,AEScore,3.58
3dx2,6.9763,0.012105,0.25614,0.26824499999999996,AEScore,6.82
3dxg,4.5984,0.012105,0.25614,0.26824499999999996,AEScore,2.4
3e5a,8.86106,0.012105,0.25614,0.26824499999999996,AEScore,8.23
3e92,8.3488,0.012105,0.25614,0.26824499999999996,AEScore,8.0
3e93,8.51408,0.012105,0.25614,0.26824499999999996,AEScore,8.85
3ebp,5.9812,0.012105,0.25614,0.26824499999999996,AEScore,5.91
3ehy,6.37878,0.012105,0.25614,0.26824499999999996,AEScore,5.85
3ejr,8.67336,0.012105,0.25614,0.26824499999999996,AEScore,8.57
3f3a,4.81659,0.012105,0.25614,0.26824499999999996,AEScore,4.19
3f3c,5.67202,0.012105,0.25614,0.26824499999999996,AEScore,6.02
3f3d,4.37286,0.012105,0.25614,0.26824499999999996,AEScore,7.16
