model_name,lit__title,lit__year,lit__journal,lit__doi,lit__volume,lit__issue,lit__data_linked,lit__code_linked,lit__training_set,casf__year,casf__n_complexes,casf__target,casf__target_unit,casf__target_normalized,reported__pearson_r,availability_type,link,license,last_commit_date,has_readme,install_instructions,explicit_versions,environment_file,install_script,preprocessing_scripts,inference_scripts,training_scripts,pretrained_weights,notebook,example_input_data,example_intermediate_data,example_output_predictions,study_fork__link,study_fork__changes_summary,data_repo__link,data_repo__doi,data_repo__license,data_repo__description,env__python_version,env__conda_env_name,env__conda_env_file,env__cuda_toolkit,env__hardware,repro__status,repro__troubleshooting_time,repro__failure_notes,repro__checkpoint_used,repro__pearson_r,repro__notes,barrier__no_public_code,barrier__web_server_only,barrier__supplementary_only,barrier__missing_weights,barrier__missing_preprocessing_code,barrier__missing_inference_code,barrier__missing_environment_spec,barrier__notebook_only,barrier__time_limit_reached,failure__missing_weights,failure__missing_preprocessing_code,failure__missing_inference_code,failure__missing_environment_spec,failure__broken_dependencies,failure__hard_coded_paths,failure__runtime_error,failure__incorrect_results,failure__undocumented_data_format,failure__hardware_incompatibility,failure__checkpoint_ambiguity
aescore,Learning protein-ligand binding affinity with atomic environment vectors,2021,Journal of Cheminformatics,https://doi.org/10.1186/s13321-021-00536-w,13,59,yes,yes,PDBbind v.2016 refined,2016,285,pK,,,0.83,github,https://github.com/RMeli/aescore,BSD-3-Clause,2022-03-24,True,True,True,True,False,True,True,True,True,False,,,,https://github.com/jeavesj/aescore,Fixed `conda env create` command typo in README; added SLURM batch submission script (`batch_predict.sb`) and a utility to merge per-complex prediction CSVs (`merge_predictions.py`).,https://doi.org/10.5281/zenodo.4155365,https://doi.org/10.5281/zenodo.4155365,CC BY 4.0,structures and results,3.12.12,ael-test,https://github.com/jeavesj/aescore/blob/master/devtools/conda-envs/ael-test.yaml,12.4,MSU HPCC amd20-V100,"Runnable, not reproducible",2-4h,Unclear which pretrained model weight files should have been used,https://doi.org/10.5281/zenodo.4155365 (experiments/CASF-2016-consensus-nohetatm-PH/out),0.694,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BAPA,Binding affinity prediction for protein–ligand complex using deep attention mechanism based on intermolecular interactions,2021,BMC Bioinformatics,https://doi.org/10.1186/s12859-021-04466-0,22,542,partial,yes,PDBbind v.2016 refined,2016,285,pK,,,0.819,github,https://github.com/Blue1993/BAPA,,2021-07-22,True,False,True,False,False,False,True,True,True,True,partial,partial,partial,,,,,,,,,,,,Not attempted,,,,,,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CGraphDTA,Fusion-Based Deep Learning Architecture for Detecting Drug-Target Binding Affinity Using Target and Drug Sequence and Structure,2023,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2023.3315073,27,12,no,no,PDBbind v.2019 general,2016,285,pK,,,0.824,github,https://github.com/CSUBioGroup/CGraphDTA,GPL-3.0,2024-05-16,True,True,True,True,False,False,True,True,True,False,yes,yes,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ConBAP,Enhancing Generalizability in Protein–Ligand Binding Affinity Prediction with Multimodal Contrastive Learning,2024,Journal of Chemical Information and Modeling,10.1021/acs.jcim.3c01961,64,6,yes,yes,PDBbind v.2016 general,2016,285,pK,,,0.864,github,https://github.com/ld139/ConBAP,MIT,2024-07-11,True,False,True,False,False,True,True,True,True,False,partial,no,no,https://github.com/jeavesj/ConBAP,Added conda environment file and SLURM batch script for MSU HPCC; replaced hardcoded paths with argparse CLI arguments in `dataset_ConBAP.py` and `predict.py`; added per-sample preprocessing and inference timing written to CSV; fixed pocket selection term suffixes (`_protein`/`_ligand`); added fallback handling for alternate ligand file formats and missing protein files; added RDKit valence error workarounds; added `compile_outputs.py` to merge timing CSVs into a combined output.,https://doi.org/10.5281/zenodo.10532671,https://doi.org/10.5281/zenodo.10532671,CC BY 4.0,processed training data,,,,,,"Runnable, not reproducible",2-4h,Preprocessing bugs likely culprits for irreproducibility... had to add fallbacks for RDKit errors.,https://github.com/jeavesj/ConBAP/blob/main/supervised/model/20231007_111336_ConBAP_repeat0/model/epoch-292%2C%20train_loss-0.1220%2C%20train_rmse-0.3493%2C%20valid_rmse-1.1663%2C%20valid_pr-0.7788.pt,0.424,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CPIScore,CPIScore: A Deep Learning Approach for Rapid Scoring and Interpretation of Protein–Ligand Binding Interactions,2024,Journal of Chemical Information and Modeling,https://doi.org/10.1021/acs.jcim.4c01175,64,23,partial,yes,PDBbind v.2019 general,2016,285,pK,,,0.74,github,https://github.com/liang2508/CPIScore,,2024-12-23,True,False,False,False,False,True,False,True,False,False,no,no,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False
CurvAGN,CurvAGN: Curvature-based Adaptive Graph Neural Networks for Predicting Protein-Ligand Binding Affinity,2023,BMC Bioinformatics,https://doi.org/10.1186/s12859-023-05503-w,24,378,partial,yes,PDBbind v.2016 general,2016,285,pK,,,0.831,github,https://github.com/tumancao/CurvAGN,,2023-06-28,False,False,False,False,False,True,True,True,False,False,,,,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
DAAP,Distance plus attention for binding affinity prediction,2024,Journal of Cheminformatics,https://doi.org/10.1186/s13321-024-00844-x,16,52,partial,yes,PDBbind v.2016 general,2016,285,pK,,,0.886,gitlab,https://gitlab.com/mahnewton/daap,MIT,2023-11-20,True,False,True,False,False,False,True,False,True,False,partial,partial,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
DEAttentionDTA,DEAttentionDTA: protein–ligand binding affinity prediction based on dynamic embedding and self-attention,2024,Bioinformatics,https://doi.org/10.1093/bioinformatics/btae319,40,6,no,yes,PDBbind v.2020 general,2016,285,pK,,,0.845,github,https://github.com/whatamazing1/DEAttentionDTA,MIT,2024-03-16,True,True,True,True,False,True,True,True,True,False,partial,no,partial,https://github.com/jeavesj/DEAttentionDTA,Replaced all hardcoded Windows paths with argparse CLI parameters across all preprocessing and test scripts; fixed fragile whitespace-based PDB parsing with fixed-width column extraction in `get_protein.py` and `get_pocket.py`; added chain-ID fallback in `get_pocket.py`; added NaN-safe affinity handling in `Dataset.py`; added per-complex prep and inference time logging to `data_pre-code.py` and `test.py`; added per-fold and ensemble-average prediction output in `test.py`; added conda environment file.,,,,,3.9.12,pytorch,https://github.com/jeavesj/DEAttentionDTA/blob/main/msu_hpcc_amd24-h200_environment.yml,11.3.1,MSU HPCC amd24-H200,Statistically reproduced,2-4h,,https://github.com/jeavesj/DEAttentionDTA/tree/main/src/model,0.819,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DeepBindGCN,DeepBindGCN: Integrating Molecular Vector Representation with Graph Convolutional Neural Networks for Protein–Ligand Interaction Prediction,2023,Molecules,https://www.mdpi.com/1420-3049/28/12/4691,28,12,partial,yes,PDBbind v.2019 general,2016,285,pK,,,0.75,github,https://github.com/haiping1010/DeepBindGCN,Apache-2.0,2023-04-07,True,True,False,False,False,True,True,False,False,False,partial,partial,partial,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
DeepTGIN,DeepTGIN: a novel hybrid multimodal approach using transformers and graph isomorphism networks for protein-ligand binding affinity prediction,2024,Journal of Cheminformatics,https://doi.org/10.1186/s13321-024-00938-6,16,147,partial,yes,PDBbind v.2020 general,2016,285,pK,,,0.834,github,https://github.com/zhc-moushang/DeepTGIN,,2026-01-04,True,False,True,True,False,True,False,True,False,False,no,partial,,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
delta_LinF9_XGB,Delta Machine Learning to Improve Scoring-Ranking-Screening Performances of Protein–Ligand Scoring Functions,2022,Journal of Chemical Information and Modeling,10.1021/acs.jcim.2c00485,62,11,no,yes,PDBbind v.2016 and CSAR decoy set,2016,285,pK,,,0.845,github,https://github.com/cyangNYU/delta_LinF9_XGB,GPL-3.0,2022-06-06,True,True,True,False,False,True,True,True,True,True,partial,no,no,,,,,,,3.8.20,delta_LinF9_XGB,https://github.com/jeavesj/delta_LinF9_XGB/blob/main/msu_hpcc_amd24-h200_environment.yml,,MSU HPCC amd24-H200,Statistically reproduced,2-4h,,https://github.com/jeavesj/delta_LinF9_XGB/tree/main/saved_model,0.84,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dowker,Dowker complex based machine learning (DCML) models for protein-ligand binding affinity prediction,2022,PLoS computational biology,https://doi.org/10.1371/journal.pcbi.1009943,18,4,partial,yes,PDBbind v.2016 refined,2016,285,pK,,,0.843,github,https://github.com/LiuXiangMath/Dowker-Complex-Based-ML,Apache-2.0,2022-12-12,True,False,True,True,False,False,True,False,False,False,no,no,no,,,,,,,,,,,,Not attempted,,,,,,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
Dynaformer,From Static to Dynamic Structures: Improving Binding Affinity Prediction with Graph-Based Deep Learning,2024,Advanced Science,https://doi.org/10.1002/advs.202405404,11,40,yes,partial,PDBbind general,2016,285,pK,pK units,pK_unspecified,0.827,github,https://github.com/Minys233/Dynaformer,MIT,2024-06-29,True,True,True,True,True,True,True,True,True,False,,,,https://github.com/jeavesj/Dynaformer,"Fixed a typo in the pocket-graph assertion (`pro_coord` vs `pro_feat`), added safe handling for empty edge index tensors, added an `rdkit_pdb2sdf()` utility to avoid OpenBabel atom-reordering; added a full conda environment file and SLURM submission scripts.",https://onedrive.live.com/?id=7C358E1E6AF36B1F%214900&#38;resid=7C358E1E6AF36B1F%214900&#38;ithint=folder&#38;e=B1E53d&#38;migratedtospo=true&#38;redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvcyFBaDlyODJvZWpqVjhwaVFIcV9xQWllaW9fODZ6P2U9QjFFNTNk&#38;cid=7c358e1e6af36b1f&#38;v=validatepermission,,,"MD trajectories, scripts for MD simulation and preprocessed data for Dynaformer",3.9,dynaformer,https://github.com/jeavesj/Dynaformer/blob/main/dynaformer_env.yml,11.3.1,MSU HPCC amd24-H200,Statistically reproduced,4-6h,,https://1drv.ms/f/s!Ah9r82oejjV8n0Bw4vAddMLBK-m-?e=95ciZv,0.824,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
